Submission ID,Respondent ID,Submitted at,Which city do you live in?,Age,Gender,Year of Study,Income Range per month (LKR),Do you prefer online shopping or in-store shopping?,How many times per month do you shop online?,Social Media,Untitled short answer field,Shopping Platforms,Untitled short answer field,How often do you shop for clothes each month?,How much money do you typically spend on clothes/clothes per month (Rs/LKR)?,Are you satisfied with the current price ranges for clothes in stores?,Are you happy with Sri Lanka's current fashion styles?,What do you do when you want to discard your old clothes?,How many pieces of clothing do you discard each year?,Do you have once or never worn clothing items in your wardrobe? ,How many once or never worn clothing items do you have?,How many functions do you have to attend per year?,How often do you re-wear a party-wear?,How much do you usually spend or willing to pay on a party wear?,How frequently do you post your photos with new party wear on social media?,How frequently do you post your photos with the same party wear (mentioned in above) on social media?,"Would you like to consider, [wearing a borrowed clothing item (for special occasions, parties, etc.)?
]","Would you like to consider, [wearing a rented clothing item (for special occasions, parties, etc.)?
]","Would you like to consider, [buying a used (but in good condition) clothing item for an affordable price (for special occasions, parties, etc.)?
]","Would you like to consider, [Do you think that there is a potential for disease transmission when wearing second-hand or previously used clothes?]","Would you like to consider, [If an app allows you to buy, rent, and resell clothes, would you like to use it?
]",What are your main drawbacks when using a second-hand clothing app? (Select all that apply),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Quality of Clothing),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Scams (Trust Issues)),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Price & Payment Methods),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Delivery Charges),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Self-Esteem),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Other),Untitled short answer field,What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply),"What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Party wear (dresses, sarees, lehengas, suits))","What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Casual wear (office wear, outdoor wear))",What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Home wear),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Sports wear),"What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Footwear (shoes, heels, sandals))",What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Accessories),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Bags & Luggage),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Books),"What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Electronic devices (phones, laptops, calculators etc.))",What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Household appliances),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Not interested in any Second-Hand items),If you see a celebrity wearing a dress and you have the chance to buy/rent it at an affordable price would you be interested?,"If you could post a picture of yourself wearing clothes on the app and someone wants to buy or rent it, would you be interested in selling or renting it?",What would make a second-hand clothing app most appealing to you?,Untitled short answer field,Do you have any additional comments or suggestions for a second-hand clothing app?
9yaL24,kOPWo6,2024-09-14 12:40:42,Kandy,22 - 25,Female,1st year,50K - 100K,In-Store,Once or Twice,Facebook,,Shein,,Once or Twice,"2,000 - 4,000",4,4,Donate,6 - 10,Yes,1 - 3,1 - 5,Thrice or More,"5,000 - 10,000",Sometimes,Rarely,Yes,No,No,No,No,"Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Electronic devices (phones, laptops, calculators etc.), Household appliances",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,No,No,Opportunity for extra income,,
2yZqpV,jGV76Q,2024-09-14 12:45:41,Kandy ,25+,Female,4th year,50K - 100K,In-Store,Once or Twice,"Facebook, WhatsApp",,"AliExpress, Other",,Once or Twice,"4,000 - 6,000",3,3,Donate,1 - 5,Yes,None,1 - 5,Once or Twice,"5,000 - 10,000",Sometimes,Rarely,No,Yes,No,Yes,Yes,Self-Esteem,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Accessories, Electronic devices (phones, laptops, calculators etc.)",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Yes, I would rent","Yes, I would sell",Opportunity for extra income,,
p19xD1,dQyDlq,2024-09-14 12:49:09,Kandy,25+,Male,4th year,50K - 100K,Online,Once or Twice,Other,,Other,,Never,"2,000 - 4,000",3,4,Donate,1 - 5,No,None,1 - 5,Once or Twice,"2,500 - 5,000",Rarely,Rarely,Yes,Yes,No,Yes,No,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Books,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,Other,Not interested ,
elPq5q,Q8QJb8,2024-09-14 12:59:19,Kurunegala,25+,Female,4th year,Not Employed,In-Store,Once or Twice,"Instagram, Facebook",,Daraz,,Never,"Below 2,000",3,4,Discard,1 - 5,No,None,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Sometimes,Yes,No,No,No,Yes,"Quality of Clothing, Price & Payment Methods",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Books",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,Opportunity for extra income,,
O9yDap,L52J8j,2024-09-14 12:59:51,Kandy,22 - 25,Female,3rd year,Not Employed,In-Store,Once or Twice,Facebook,,"AliExpress, eBay, Daraz",,Once or Twice,"2,000 - 4,000",3,4,Discard,1 - 5,Yes,4-6,1 - 5,Thrice or More,"5,000 - 10,000",Rarely,Rarely,Yes,Yes,No,Yes,Yes,"Scams (Trust Issues), Self-Esteem, Quality of Clothing",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,"Bags & Luggage, Books, Electronic devices (phones, laptops, calculators etc.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,No,No,Save money,,
7z5R06,4PbNLY,2024-09-14 13:07:09,Kandy,25+,Female,4th year,Not Employed,In-Store,Once or Twice,Facebook,,AliExpress,,Once or Twice,"2,000 - 4,000",2,4,Recycle,10+,No,None,10+,Once or Twice,"2,500 - 5,000",Always,Never,No,No,No,Yes,No,"Quality of Clothing, Scams (Trust Issues), Price & Payment Methods",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,"Bags & Luggage, Books, Electronic devices (phones, laptops, calculators etc.), Sports wear, Home wear",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Sustainability of the service,,
x1BXWk,O8NBJR,2024-09-14 13:07:53,kekirawa,22 - 25,Female,1st year,Not Employed,Online,Once or Twice,Instagram,,Other,,Once or Twice,"4,000 - 6,000",2,3,Donate,1 - 5,Yes,4-6,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Never,Yes,No,No,Yes,Yes,"Quality of Clothing, Self-Esteem, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,"Casual wear (office wear, outdoor wear), Not interested in any Second-Hand items",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Yes, I would rent","Yes, I would rent",Opportunity for extra income,,
0y5QNB,qjlEjY,2024-09-14 13:09:01,Galle,22 - 25,Female,4th year,10K - 50K,In-Store,Once or Twice,Instagram,,Shein,,Once or Twice,"6,000 - 8,000",4,3,Donate,1 - 5,Yes,1 - 3,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Rarely,Yes,No,Yes,No,Yes,"Quality of Clothing, Price & Payment Methods, Self-Esteem",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,"Casual wear (office wear, outdoor wear), Party wear (dresses, sarees, lehengas, suits), Footwear (shoes, heels, sandals), Bags & Luggage",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Sustainability of the service,,No
NQyqrB,Vo61Da,2024-09-14 13:10:40,Katugastota,25+,Male,4th year,Below 10K,In-Store,Once or Twice,"Facebook, WhatsApp",,"Daraz, AliExpress",,Once or Twice,"2,000 - 4,000",3,4,Discard,1 - 5,No,None,1 - 5,Thrice or More,"2,500 - 5,000",Sometimes,Sometimes,Yes,Yes,No,No,Yes,"Scams (Trust Issues), Quality of Clothing",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Footwear (shoes, heels, sandals), Bags & Luggage, Electronic devices (phones, laptops, calculators etc.), Household appliances",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,No,"Yes, I would sell",Opportunity for extra income,,"App should be include the brand of the item
Time period that they use that item
"
O9yQWM,Vo69ja,2024-09-14 13:20:19,Kandy,18 -21,Female,2nd year,Not Employed,In-Store,Once or Twice,TikTok,,AliExpress,,Once or Twice,"2,000 - 4,000",3,3,Recycle,1 - 5,Yes,1 - 3,1 - 5,Once or Twice,"2,500 - 5,000",Rarely,Rarely,No,No,Yes,Yes,No,"Price & Payment Methods, Delivery Charges, Self-Esteem",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,"Home wear, Sports wear",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would rent","Yes, I would rent",Save money,,
EEYKqB,4Pb1KB,2024-09-14 13:21:16,Kurunegala ,18 -21,Female,1st year,Not Employed,In-Store,Once or Twice,Other,,Daraz,,Once or Twice,"2,000 - 4,000",2,2,Donate,1 - 5,No,None,None,Never,"2,500 - 5,000",Rarely,Rarely,No,No,No,Yes,No,Self-Esteem,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,Not interested in any Second-Hand items,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No,No,Save money,,
2y5Xa9,R89Z5P,2024-09-14 13:22:03,Kekirawa,25+,Female,4th year,Not Employed,In-Store,Once or Twice,Instagram,,Daraz,,Once or Twice,"2,000 - 4,000",2,3,Donate,1 - 5,Yes,1 - 3,1 - 5,Once or Twice,"2,500 - 5,000",Always,Sometimes,No,Yes,No,Yes,Yes,"Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would rent",No,Sustainability of the service,,
6y5Lxe,x9W0ZE,2024-09-14 13:23:52,Colombo,25+,Female,4th year,Above 100K,In-Store,Once or Twice,Other,Instore,AliExpress,,Once or Twice,"4,000 - 6,000",1,1,Donate,10+,Yes,4-6,1 - 5,Never,"5,000 - 10,000",Always,Rarely,Yes,No,Yes,Yes,Yes,"Self-Esteem, Price & Payment Methods, Scams (Trust Issues), Quality of Clothing, Delivery Charges",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Books, Electronic devices (phones, laptops, calculators etc.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,No,Save money,,No
YvyP2q,0oWbgZ,2024-09-14 13:30:12,KURUNEGALA,25+,Male,4th year,Not Employed,Online,Never,"Facebook, Instagram, TikTok, WhatsApp, Telegram",,"Daraz, AliExpress",,Never,"2,000 - 4,000",3,3,Donate,1 - 5,Yes,1 - 3,1 - 5,Thrice or More,"Less than 2,500",Sometimes,Always,No,No,Yes,Yes,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Casual wear (office wear, outdoor wear)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,Opportunity for extra income,,
p19dQJ,gWoW41,2024-09-14 13:40:00,Kandy,22 - 25,Female,4th year,Not Employed,In-Store,Once or Twice,"Instagram, Facebook",,"Daraz, AliExpress",,Once or Twice,"2,000 - 4,000",3,3,Donate,1 - 5,Yes,1 - 3,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Sometimes,Yes,No,No,No,Yes,"Quality of Clothing, Scams (Trust Issues), Price & Payment Methods, Delivery Charges, Self-Esteem",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would rent",Sustainability of the service,,
7z5L72,x9W9K9,2024-09-14 13:49:57,Kandy,22 - 25,Female,2nd year,Not Employed,In-Store,Once or Twice,Facebook,,AliExpress,,Once or Twice,"2,000 - 4,000",3,3,Donate,6 - 10,Yes,1 - 3,1 - 5,Once or Twice,"5,000 - 10,000",Sometimes,Rarely,Yes,No,No,Yes,No,"Self-Esteem, Delivery Charges, Price & Payment Methods, Scams (Trust Issues), Quality of Clothing",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,"Bags & Luggage, Electronic devices (phones, laptops, calculators etc.), Books",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,No,No,Opportunity for extra income,,
elPr6o,e9XK6e,2024-09-14 13:54:47,Kandy,22 - 25,Male,4th year,50K - 100K,Online,Once or Twice,TikTok,,AliExpress,,Once or Twice,"2,000 - 4,000",4,3,Donate,6 - 10,No,1 - 3,1 - 5,Thrice or More,"2,500 - 5,000",Sometimes,Sometimes,Yes,No,No,Yes,Yes,"Quality of Clothing, Delivery Charges, Price & Payment Methods, Self-Esteem",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,"Electronic devices (phones, laptops, calculators etc.), Not interested in any Second-Hand items",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Yes, I would buy",No,Opportunity for extra income,,
JxYlWR,E8Ovbo,2024-09-14 13:57:39,Kandy ,22 - 25,Female,2nd year,Below 10K,In-Store,Once or Twice,"TikTok, Instagram",,"AliExpress, Daraz",,Once or Twice,"2,000 - 4,000",2,3,Donate,1 - 5,No,None,1 - 5,Once or Twice,"5,000 - 10,000",Rarely,Never,Yes,Yes,No,No,No,"Quality of Clothing, Price & Payment Methods",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would rent","Yes, I would rent",Save money,,
7z5KEZ,2O61OA,2024-09-14 13:58:14,Kandy ,25+,Female,4th year,Not Employed,In-Store,Once or Twice,"Instagram, WhatsApp",,"AliExpress, Other, Kapruka",,Once or Twice,"2,000 - 4,000",3,3,Donate,1 - 5,Yes,1 - 3,1 - 5,Thrice or More,"5,000 - 10,000",Never,Never,No,No,No,No,Yes,Self-Esteem,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"Footwear (shoes, heels, sandals), Accessories, Bags & Luggage, Books, Electronic devices (phones, laptops, calculators etc.), Household appliances",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No,"Yes, I would sell",Sustainability of the service,,
v1bDk4,x9W41d,2024-09-14 14:02:17,Kandy ,25+,Male,4th year,10K - 50K,In-Store,Once or Twice,"Facebook, TikTok",,AliExpress,,Never,"2,000 - 4,000",1,4,Donate,1 - 5,Yes,1 - 3,1 - 5,Thrice or More,"2,500 - 5,000",Sometimes,Sometimes,Yes,No,No,Yes,No,Scams (Trust Issues),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Footwear (shoes, heels, sandals), Sports wear",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,Opportunity for extra income,,No..
r1Wog2,XOb8Je,2024-09-14 14:09:59,Kandy ,25+,Male,4th year,10K - 50K,Online,Thrice or More,Instagram,,"AliExpress, Daraz, eBay",,Once or Twice,"6,000 - 8,000",4,3,Donate,6 - 10,Yes,6+,1 - 5,Once or Twice,"2,500 - 5,000",Rarely,Never,Yes,Yes,Yes,Yes,Yes,"Quality of Clothing, Scams (Trust Issues), Price & Payment Methods, Delivery Charges",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Accessories, Books, Electronic devices (phones, laptops, calculators etc.), Household appliances",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"Yes, I would buy","Yes, I would sell",Opportunity for extra income,,There need to be some sort of quality check of the second hand clothes for the people who are willing rent or buy through the app and there need to be review system for the clothes and the sellers & renters as well I guess 
o1Q21P,XOb84z,2024-09-14 14:10:48,Kandy,18 -21,Male,1st year,10K - 50K,In-Store,Once or Twice,Instagram,,Daraz,,Once or Twice,"4,000 - 6,000",3,3,Discard,6 - 10,No,None,1 - 5,Thrice or More,"2,500 - 5,000",Rarely,Rarely,Yes,Yes,No,Yes,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Books, Electronic devices (phones, laptops, calculators etc.), Household appliances, Sports wear, Home wear, Casual wear (office wear, outdoor wear)",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,No,"Yes, I would sell",Opportunity for extra income,,
elPR5Q,olj50e,2024-09-14 14:14:39,Sri Lanka,22 - 25,Female,3rd year,Not Employed,In-Store,Never,Facebook,,Daraz,,Once or Twice,"2,000 - 4,000",2,3,Discard,1 - 5,No,None,1 - 5,Once or Twice,"5,000 - 10,000",Rarely,Rarely,No,No,No,No,No,"Quality of Clothing, Price & Payment Methods, Delivery Charges",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,"Bags & Luggage, Footwear (shoes, heels, sandals), Home wear",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,No,No,Sustainability of the service,,
WBdzzv,lVEYMW,2024-09-14 14:16:28,Matale ,22 - 25,Female,1st year,10K - 50K,In-Store,Once or Twice,Facebook,,AliExpress,,Once or Twice,"2,000 - 4,000",3,3,Donate,6 - 10,Yes,1 - 3,1 - 5,Once or Twice,"Less than 2,500",Rarely,Rarely,Yes,Yes,Yes,No,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Home wear,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,"Yes, I would rent",Save money,,
o1QGOe,P8qbPd,2024-09-14 14:17:32,Kaduwela,22 - 25,Male,4th year,Below 10K,In-Store,Once or Twice,"Facebook, Instagram",,"Daraz, AliExpress",,Once or Twice,"2,000 - 4,000",2,2,Donate,1 - 5,No,None,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Sometimes,Yes,Yes,Yes,Yes,Yes,"Scams (Trust Issues), Quality of Clothing, Price & Payment Methods, Delivery Charges",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,"Casual wear (office wear, outdoor wear), Footwear (shoes, heels, sandals)",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would rent","Yes, I would rent",Sustainability of the service,,
Ral5Jj,jGVkMY,2024-09-14 14:29:15,Kekirawa,22 - 25,Female,1st year,10K - 50K,Online,Once or Twice,Instagram,,AliExpress,,Once or Twice,"2,000 - 4,000",3,2,Discard,1 - 5,No,None,1 - 5,Once or Twice,"5,000 - 10,000",Sometimes,Never,Yes,No,Yes,No,Yes,"Price & Payment Methods, Scams (Trust Issues), Quality of Clothing",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear), Footwear (shoes, heels, sandals)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,"Yes, I would rent",Save money,,Ok
7z52JZ,oljkON,2024-09-14 14:29:41,Kandy,22 - 25,Female,2nd year,Not Employed,Online,Once or Twice,Instagram,,Shein,,Once or Twice,"4,000 - 6,000",3,3,Donate,1 - 5,Yes,1 - 3,1 - 5,Never,"2,500 - 5,000",Sometimes,Never,Yes,Yes,Yes,No,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Electronic devices (phones, laptops, calculators etc.), Party wear (dresses, sarees, lehengas, suits)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,"Yes, I would rent",Save money,,
4ydxDd,bNJ66L,2024-09-14 14:32:39,Peradeniya ,22 - 25,Female,3rd year,Below 10K,In-Store,Never,"Other, Facebook",,Daraz,,Never,"Below 2,000",2,2,Discard,1 - 5,Yes,1 - 3,1 - 5,Once or Twice,"2,500 - 5,000",Always,Never,No,No,No,Yes,Yes,"Quality of Clothing, Scams (Trust Issues), Price & Payment Methods, Delivery Charges, Self-Esteem",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear), Sports wear, Footwear (shoes, heels, sandals), Accessories, Bags & Luggage, Books, Electronic devices (phones, laptops, calculators etc.), Household appliances, Not interested in any Second-Hand items",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Yes, I would buy","Yes, I would sell",Save money,,
9y5DAX,aZMazv,2024-09-14 14:33:33,Gampola ,22 - 25,Female,3rd year,50K - 100K,Online,Once or Twice,"Instagram, TikTok",,"Daraz, eBay",,Once or Twice,"4,000 - 6,000",3,3,Discard,1 - 5,Yes,6+,1 - 5,Once or Twice,"5,000 - 10,000",Rarely,Sometimes,No,Yes,No,No,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Not interested in any Second-Hand items,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Yes, I would buy","Yes, I would rent",Opportunity for extra income,,
2y5eBp,M8x7j0,2024-09-14 14:37:24,Kandy,22 - 25,Male,2nd year,Below 10K,In-Store,Once or Twice,Instagram,,"AliExpress, Daraz",,Once or Twice,"2,000 - 4,000",3,3,Donate,1 - 5,Yes,1 - 3,6 - 10,Thrice or More,"2,500 - 5,000",Sometimes,Sometimes,Yes,Yes,No,No,Yes,"Price & Payment Methods, Quality of Clothing, Delivery Charges",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear), Footwear (shoes, heels, sandals), Bags & Luggage, Electronic devices (phones, laptops, calculators etc.)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Save money,,No
g1r0MK,Q8QOb1,2024-09-14 14:38:52,Kandy,25+,Female,4th year,Above 100K,In-Store,Thrice or More,"Facebook, Instagram, WhatsApp",,"AliExpress, Daraz, Shein",,Thrice or More,"4,000 - 6,000",3,3,Donate,None,Yes,1 - 3,1 - 5,Thrice or More,"2,500 - 5,000",Rarely,Rarely,Yes,No,No,Yes,No,"Quality of Clothing, Scams (Trust Issues), Delivery Charges",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,"Books, Household appliances, Bags & Luggage, Footwear (shoes, heels, sandals), Electronic devices (phones, laptops, calculators etc.)",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,No,No,Opportunity for extra income,,"Make sure sizing filters are accurate and consistent. Provide detailed measurement guides or even an AI sizing assistant. Highlight clothing that is sustainable or made of eco-friendly materials with special icons.
Show users how much carbon or water they've saved by buying second-hand items. Create a clear, standardized system for rating the condition of clothing (e.g., New, Like New, Good, Fair). Offer guarantees for brand-name or high-value items by authenticating them before shipping."
6y5775,J84WQX,2024-09-14 14:39:03,Pilimathalawa ,25+,Male,4th year,50K - 100K,In-Store,Once or Twice,"Other, Instagram",Koko app,"AliExpress, Daraz, Other",Koko,Once or Twice,"2,000 - 4,000",3,4,Donate,1 - 5,Yes,1 - 3,6 - 10,Once or Twice,"2,500 - 5,000",Rarely,Sometimes,No,Yes,Yes,Yes,Yes,Scams (Trust Issues),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Footwear (shoes, heels, sandals), Party wear (dresses, sarees, lehengas, suits)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Save money,,
Pey6Yx,r2Zkxo,2024-09-14 14:40:27,Kurunagala ,25+,Male,4th year,10K - 50K,In-Store,Once or Twice,"Facebook, WhatsApp, TikTok",,Daraz,,Once or Twice,"2,000 - 4,000",5,5,Discard,1 - 5,No,None,1 - 5,Once or Twice,"Less than 2,500",Sometimes,Sometimes,No,Yes,No,Yes,Yes,Self-Esteem,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"Accessories, Footwear (shoes, heels, sandals)",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would rent","Yes, I would rent",Save money,,
o1Qyrb,K8jkDK,2024-09-14 14:47:11,Kandy,18 -21,Female,1st year,Not Employed,In-Store,Thrice or More,Instagram,,"Shein, eBay",,Thrice or More,"6,000 - 8,000",4,2,Donate,10+,Yes,4-6,10+,Never,"10,000+",Sometimes,Never,No,No,No,Yes,No,"Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,Not interested in any Second-Hand items,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Yes, I would buy",No,Opportunity for extra income,,
ZKyd6y,ZPBDZV,2024-09-14 14:49:33,Kurunegala,22 - 25,Female,4th year,Not Employed,In-Store,Never,Instagram,,AliExpress,,Never,"Below 2,000",2,2,Donate,1 - 5,No,None,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Rarely,Yes,No,No,Yes,No,"Quality of Clothing, Scams (Trust Issues), Price & Payment Methods, Delivery Charges, Self-Esteem",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,Not interested in any Second-Hand items,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Yes, I would buy",No,Save money,,
RalzLp,M8xMVk,2024-09-14 14:50:40,Kandy ,25+,Female,2nd year,Below 10K,In-Store,Once or Twice,"Facebook, Instagram",,Daraz,,Once or Twice,"2,000 - 4,000",3,3,Donate,None,Yes,1 - 3,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Sometimes,Yes,Yes,Yes,No,Yes,"Quality of Clothing, Price & Payment Methods",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Bags & Luggage, Accessories",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Yes, I would rent","Yes, I would sell",Save money,,
